Age,Gender,City,Position ,Total_Y,Level,Num_Skill,Main_Tech,Current_Salary,Prev_Salary,Status,MaxComp_size,Company_type
37,Male,Aachen,Data Scientist,15,Senior,1,Python,70000,0,Full-time,1000,Production
24,Male,Aachen,Admin,3,Junior,1,Python,10164,0,Part-time ,1000+,Research Institute
26,Male,Amsterdam,Data Scientist,2,Junior,1,Python,48000,43000,Full-time,100,Fintech
28,Female,Amsterdam,Admin,10,Senior,1,Business Intelligence,86000,75000,Full-time,1000+,Production
33,Male,Amsterdam,Software Engineer,8,Senior,1,C#,75000,56000,Full-time,1000+,Production
32,Male,Amsterdam,Software Engineer,15,Senior,1,Golang,90000,90000,Full-time,1000+,Production
32,Male,Amsterdam,Software Engineer,13,Senior,1,Kotlin,85000,80000,Full-time,1000+,Fintech
27,Male,Amsterdam,Data Scientist,4,Middle,1,Python,62000,40000,Full-time,1000+,Production
25,Female,Amsterdam,Data Scientist,1,Middle,1,Python,49850,36000,Full-time,1000+,Startup
31,Male,Amsterdam,Data Scientist,10,Team Lead,1,Python,100000,0,Full-time,1000+,Production
36,Male,Amsterdam,Software Engineer,14,Senior,1,Swift,75000,75000,Full-time,1000+,Services
30,Male,Ansbach,Software Engineer,4,Junior,1,PHP,42000,36000,Full-time,1000,Production
47,Male,Balingen,Software Engineer,25,Senior,1,Java,70000,0,Full-time,1000+,Services
29,Male,Barcelona,Data Scientist,1,Junior,1,Python,22000,11000,Full-time,100,Production
30,Male,Barcelona,Data Scientist,5,Senior,1,R,40000,40000,Full-time,1000+,Services
29,Male,Basel,Data Scientist,5,Team Lead,1,Python,115000,0,Full-time,1000+,Services
38,Male,Berlin,Data Scientist,20,Senior,1,C,200000,80000,Self-employed,10,Services
36,Male,Berlin,Admin,4,Middle,1,C++,40000,37000,Full-time,10,Research Institute
36,Male,Berlin,Software Engineer,7,Middle,4,C++,42000,42000,Full-time,10,Production
35,Male,Berlin,Software Engineer,1,Junior,1,Function Block Diagram,30000,0,Full-time,10,Production
24,Male,Berlin,Software Engineer,2,Junior,1,Java,60000,60000,Full-time,10,Services
25,Male,Berlin,Software Engineer,5,Senior,1,Java,60000,0,Self-employed,10,Startup
32,Male,Berlin,UI/UX Designer,5,Senior,1,Java,70000,65000,Self-employed,10,Startup
36,Male,Berlin,Software Engineer,12,Senior,1,JavaScript,72000,72000,Full-time,10,Startup
34,Male,Berlin,Software Engineer,7,Senior,1,JavaScript,65000,0,Full-time,10,Startup
38,Male,Berlin,Software Engineer,11,Senior,1,JavaScript,35000,0,Founder,10,Startup
41,Male,Berlin,Software Engineer,18,Senior,1,JavaScript,120000,92000,Self-employed,10,Startup
25,Male,Berlin,Software Engineer,5,Senior,1,Node JS,57000,0,Full-time,10,Services
35,Male,Berlin,Software Engineer,13,Senior,1,Node JS,90000,82000,Full-time,10,Startup
37,Female,Berlin,UI/UX Designer,2,Middle,1,Others,70000,0,Full-time,10,Startup
35,Male,Berlin,Software Engineer,10,Senior,1,PHP,78000,78000,Full-time,10,Production
34,Female,Berlin,UI/UX Designer,10,Senior,1,PowerShell,45000,45000,Full-time,10,Production
28,Male,Berlin,Data Scientist,1,Junior,1,Python,43000,42000,Full-time,10,Startup
39,Female,Berlin,Data Scientist,3,Junior,1,Python,60000,60000,Full-time,10,E-commerce
29,Male,Berlin,Data Scientist,6,Middle,1,Python,57000,0,Full-time,10,Startup
28,Male,Berlin,Data Scientist,5,Middle,2,Python,54000,52000,Full-time,10,Startup
24,Male,Berlin,Software Engineer,1,Junior,1,Python,14400,0,Working Student,10,Startup
29,Female,Berlin,Data Scientist,2,Junior,1,R,52000,0,Full-time,10,Services
30,Male,Berlin,Software Engineer,8,Senior,1,Swift,60000,0,Self-employed,10,Services
26,Female,Berlin,Software Engineer,7,Senior,1,Others,60000,0,Full-time,10,Production
29,Male,Berlin,Software Engineer,11,Team Lead,1,TypeScript,140000,140000,Self-employed,10,Startup
24,Male,Berlin,Data Scientist,3,Junior,1,Python,90000,0,Self-employed,10,Startup
34,Male,Berlin,Software Engineer,10,Senior,2,Android,70000,0,Full-time,100,Production
27,Male,Berlin,Software Engineer,8,Middle,1,Angular,45000,0,Full-time,100,Production
30,Male,Berlin,Software Engineer,11,Senior,2,C,70000,0,Full-time,100,Startup
